sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
"lugar bom , espaço bacana .",1,0,0,1,0,0,0,0
"as bebida chegam bem todavia o barulho do local incomoda quem quer conversar e saborear ... algun tira gosto existent , os quai demoram muito para ficarem pronto e chegarem as pessoa que o solicitaram ...",1,1,1,0,0,0,0,1
"atendimento ótimo do senna , ambient aconchegant , espaçoso , som com boa escolha de estilo , a comida 100 % maravilhosa e bem servida .",1,0,1,0,0,0,0,1
comi dua variaçõ de tambaqui sensacionai .,0,0,1,0,0,0,0,0
"seu cardápio contém os peix e prato regionai apresentado de maneira criativa , mediant concepção diferent .",0,0,1,0,0,0,0,0
a cerveja mai gelada de mai atendimento 100 %,0,1,0,0,0,0,0,1
"pizza boa ambient climatizado , preço razoável porém , um local bastava barulhento as vez é impossível conversar lá .",1,0,1,0,0,0,1,0
"otimo serviço e comida bem servida e bom churrasco , bem climatizado , o que é uma exigencia para a cidad de manau e , com boa opçõ de drink e vinho",1,1,1,0,0,0,0,1
"carn excelent , atendimento muito , tem espaço kid ( só que fica no andar de baixo do restaurant , próximo a garagem ) , muito caro o valor .",1,0,1,0,0,0,1,1
melhor banda de tambaqui que já comi ... porção generosa por um bom preço,0,0,1,0,0,0,1,0
"excelent ambient , comida deliciosa e cerveja gelada !",1,1,1,0,0,0,0,0
atendimento rápido e comida de qualidad !,0,0,1,0,0,0,0,1
"excelent atendimento , comida gostosa .",0,0,1,0,0,0,0,1
boa comida e preço acessível .,0,0,1,0,0,0,1,0
lugar perfeito ! !,0,0,0,1,0,0,0,0
"comida muito boa , serviço de primeira , bon vinho .",0,1,1,0,0,0,0,1
comida excelent ! !,0,0,1,0,0,0,0,0
super indico !,0,0,0,1,0,0,0,0
"um excelent atendimento , clima agradável e o ambient bastant adorável , fomo recepcionado da melhor maneira pela atendent marcela , sempr sorrindo , sendo gentil comigo e meu amigo , mostrando as melhor pedida e melhor bebida .",1,1,0,0,0,0,0,1
"outro ingredient obrigatório na mesa do amazonens - e de grand part do morador do nort - é a banana pacovã , uma ‘ irmã ’ da nossa banana-da-terra .",0,0,1,0,0,0,0,0
"venha conhec uma bar com a cerveja super gelada , tira gosto saboroso e atendimento vip .",0,1,1,0,0,0,0,1
"excelent restaurant , variedad , sabor típico region com toqu internacionai .",0,0,1,1,0,0,0,0
boteco com cerveja e isca bem gostosa e ótimo para encontro com os amigo e ambient bem familiar,1,1,1,0,0,0,0,0
lugar agradável muito lindo e comida nota 10,1,0,1,1,0,0,0,0
"pizza de massa fina com recheio especi , atendimento excelent e ambient aconchegant , vale muito a pena !",1,0,1,0,0,0,0,1
lugar tranquilo e muito bem servido pelo garçon .,0,0,0,1,0,0,0,1
melhor churrascaria de manau,0,0,0,1,0,0,0,0
restaurant bom e comida de excelent qualidad .,0,0,1,1,0,0,0,0
"parabén ao garçom luí carlo , gent finíssima !",0,0,0,0,0,0,0,1
"grand variedad de buffet , local super agradável , colaborador super educado , animado e uma grand variedad de cort .",1,0,1,1,0,0,0,1
"lugar sensacion , pizza perfeita .",0,0,1,1,0,0,0,0
"boa refeição , só não gostei foi da cobrança da brinquedoteca , que por sinal , estava um forno muito quent .",1,0,1,0,0,0,0,0
"fomo ao banzeiro a convit de familiar e a experiência como um todo foi perfeita , sem fila , atendimento bom , ambient bacana e o mai important : entrada e prato sensacionai !",1,0,1,0,0,0,0,1
o atendimento merec elogio especi pela diferenciada atenção dispensada ao client .,0,0,0,0,0,0,0,1
"boa qualidad , preço compatível , atendimentonpod melhorar",0,0,1,0,0,0,1,1
cerveja gelada e boa carta de vinho .,0,1,0,0,0,0,0,0
"ótimo restaurant , com rodízio de comida japonesa maravilhosa ! ! ! .",0,0,1,0,0,0,0,0
o serviço é meio do tipo antigo e lento .,0,0,0,0,0,0,0,1
"comida region muito cara , atendimento muito ruim , precissa fazer fila para tapioca e sanduch , variedad de pãe muito limitada !",0,0,1,0,0,0,1,1
vint e pouco a entrada bem baratinho,0,0,0,0,0,0,1,0
"um cardápio region sensacion , ambient agradável e atendimento impecável .",1,0,1,0,0,0,0,1
"ótimo atendimento , temperatura agradável",1,0,0,0,0,0,0,1
"bar antigo , mal conservado , banheiro deplorável já no período da tard ond o movimento ainda é pequeno .",1,0,0,1,0,0,0,0
fui ao restaurant e saboreei uma bela picanha .,0,0,1,0,0,0,0,0
comida maravilhosa e ambient muito agradável .,1,0,1,0,0,0,0,0
"melhor restaurant , tudo muito bom…peix de qualidad , sempr fresco… atendimento 5 estrela , especialment da atendent dani e do sushiman melhor de manau francisco…",0,0,1,1,0,0,0,1
atendimento excelent do garçom anderson souza !,0,0,0,0,0,0,0,1
restaurant maravilhoso de manau ! ! ! ! !,0,0,0,1,0,0,0,0
garçom senna super atencioso,0,0,0,0,0,0,0,1
acho que é o primeiro restaurant italiano em manau que me satisfez no sabor .,0,0,0,1,0,0,0,0
"um bom restaurant , sem dúvida ! atendimento perfeito , além do tradicion bacalhau , oferec também , outra opçõ de carnes.muito bom !",0,0,1,1,0,0,0,1
"um excelent lugar , ótimo atendimento !",0,0,0,1,0,0,0,1
"comida excelent ... preço adequado , os prato servem bem ... ambient agradável e famiar ... atendimento excelent",1,0,1,0,0,0,1,1
restaurant fino com comida internacionai e locai .,0,0,1,1,0,0,0,0
ótimo custo benefício !,0,0,0,0,0,0,1,0
comida de ótima qualidad e com funcionário bem educado .,0,0,1,0,0,0,0,1
"uma local que reuni uma ótima comida com excelent bebida , além do ambient ser muito tranquilo e limpo .",1,1,1,0,0,0,0,0
muito bom atendimento e não deix de espirimentar seu tira gosto e a cerveja amazon beer .,0,1,1,0,0,0,0,1
"em um espeça não muito grand , ma aconchegant , tem uma cervejinha sempr gelada e é uma ótima pedida pro fim de tard .",1,1,0,0,0,0,0,0
boa comida e atendimento .,0,0,1,0,0,0,0,1
"tem uma boa variedad de pizza no rodízio , incluindo un 10 sabor doce , como chocol com mm , ovomaltin , chocol branco , sabor que não aparecem em grand part do rodízio de pizza de manau .",0,0,1,0,0,0,0,0
acho que por ess preço tem restaurant melhor em manau .,0,0,0,0,0,0,1,0
bom lugar para comer,0,0,1,0,0,0,0,0
"muito boa , comida e lanch delicioso e bom preço",0,0,1,0,0,0,1,0
otimo bolinho de bacalhau .,0,0,1,0,0,0,0,0
"melhor peix da cidad , o único problema é o estacionamento",0,0,1,0,1,0,0,0
"poderia ter melhor opçõ de comida como caldo e porçõ mai variada , ma contando tudo é um ótimo lugar com uma ótima música ao vivo de qualidad .",1,0,1,1,0,0,0,0
"com um café expresso fort , cítrico e muito bem tirado .",0,1,0,0,0,0,0,0
pedi o menu executivo .,0,0,0,0,0,1,0,0
lugar formidável para aquel happi hour com a família e/ou amigo .,0,0,0,1,0,0,0,0
camarão internacion e escondidinho maravilhoso,0,0,1,0,0,0,0,0
um do melhor restaurant que já visitei .,0,0,0,1,0,0,0,0
"a comida uma delícia , mta variedad , a picanha vc pede a quantidad q quser , tem uma banana frita deliciosa , paçoca de carn seca , arroz com brocóli , suco ... sem falar do ambient q é climatizado , atendimento muito bom , um excelent lugar pra vc se reunir com ... mai",1,0,1,0,0,0,0,1
atendimento ótimo e comida boa tb .,0,0,0,0,0,0,0,1
boa opção de bebida e comida típica .,0,1,1,0,0,0,0,0
"se você realment quer ter uma experiência de comida region amazonens , ess é um do melhor lugar .",0,0,1,0,0,0,0,0
casa muito boa para se divertir,0,0,0,1,0,0,0,0
ótima comida e o ambient muito agradável,1,0,1,0,0,0,0,0
muito boa atendent maravilhoso lugar super bom comida de alta qualidad o melhor garçom e o fabiano .,0,0,1,0,0,0,0,1
excelent pedida para os curioso disposto a experimentar o melhor da culinária amazonens .,0,0,1,0,0,0,0,0
café da manhã delicioso .,0,0,1,0,0,0,0,0
"ótimo ambient , comida boa e excelent atendimento do jonathan !",1,0,1,0,0,0,0,1
rapidez e atendimento excelent,0,0,0,0,0,0,0,1
ambient agradável e bom atendimento .,1,0,0,0,0,0,0,1
"super indico , melhor picanha que já comi , lugar simpl , com boa higien , preço muito bom para a carn que servem .",1,0,1,1,0,0,1,0
"atendimento excelent , ambient acolhedor com direito a vista do teatro amazona , refinado sem ser luxuoso ( o sabão do baheiro era l'ocitann ) ma ... mai",1,0,0,0,0,0,0,1
pouca comida e preço alto,0,0,1,0,0,0,1,0
"ambient agradevel , comida muito gostosa , recomendo fortement a lasanha .",1,0,1,0,0,0,0,0
um excelent lugar .,0,0,0,1,0,0,0,0
"bom custo benefício , comida boa , bastant opçõ",0,0,1,0,0,0,1,0
"excelent ambient familiar , segurança , conforto e client fiel agora ?",1,0,0,0,0,0,0,0
restaurant excelent ! ! !,0,0,0,1,0,0,0,0
moqueca excelent !,0,0,1,0,0,0,0,0
"ambient super agradável , aconchegant , amplo e com a temática rock , muito legal !",1,0,0,0,0,0,0,0
preço compatívei com o serviço oferecido .,0,0,0,0,0,0,1,1
"um ótimo local para se comer comida de fruto do mar e nordestina , lugar aconchegant e luxuoso , ótimo atendimento",1,0,1,0,0,0,0,1
melhor restaurant de manau .... melhor ambient agradável ?,1,0,0,1,0,0,0,0
"ambient sempr cheio , com mesa sempr ocupada .",1,0,0,0,0,0,0,0
"situado bem no centro da cidad é um restaurant simpl , porem com boa comida portuguesa e serviço simpático .",0,0,1,1,0,0,0,1
"se você quer um bom rodízio de carn em manau , a bufalo é o lugar ideal ! !",0,0,1,0,0,0,0,0
"excelent comida , e bom atendimento .",0,0,1,0,0,0,0,1
"sem duvida o melhor restaurant de manau , atendimento espetacular , a comida simplesment saborosa , ótimo lugar para convívio familiar , reunião de negócio e confraternização com amigo , ess restaurant é simplesment fantástico , agradeço ao atendimento do marcu , senti-m muito bem , melhor atendimento , melhor comida .",0,0,1,1,0,0,0,1
super legal agradável bom abient,0,0,0,1,0,0,0,0
"sanduích saboroso , gostamo bastant da qualidad e quantidad do sanduích .",0,0,1,0,0,0,0,0
"localização , som ambient e comida .",0,0,0,0,0,1,0,0
"música ao vivo , bon drink e com ótima apresentação .",1,1,0,0,0,0,0,0
"ambient familiar , porém restaurant não oferec muita opçõ no cardápio , preço um pouco caro , estacionamento bacana",1,0,1,0,1,0,1,0
lugar bem aconchegant ambient tranquilo ótimo atendimento,1,0,0,1,0,0,0,1
"ambient aconchegant agradável , boa comida e funcionário atencioso .",1,0,1,0,0,0,0,1
"eu recomendaria com toda certa o tambagril v8 , que além de ter melhor custo-beneficio tem a melhor caldeirada da cidad e un drink maravilhoso .",0,1,1,1,0,0,1,0
experiência fantástica .,0,0,0,1,0,0,0,0
"nó tínhamo uma grand expectativa de provarmo o melhor da culinária local , especialment o tambaqui , contudo , pelo meno o prato que pedimo - costela de tambaqui- , não foi nem de perto um do melhor da viagem .",0,0,1,0,0,0,0,0
"a churrascaria tem um ambient sofisticado com carn nobr e saborosa além de bufê e guarniçõ que são preparada na hora , os garçon são atencioso e preparado , o preço diferent do prato , um pouco salgado .",1,0,1,0,0,0,1,1
"atendimento bom , amplo estacionamento ( porém em dia movimentado fica cheio ) , ambient bem agradável e os hambúrguer delicioso !",1,0,1,0,1,0,0,1
"excelent comida , e preço acessível",0,0,1,0,0,0,1,0
o la parrilla sem dúvida hoje é a melhor opção para que está próximo ao aeroporto ou em regiõ próxima no raio de 10 km máximo .,0,0,0,0,1,0,0,0
"música boa , gent bonita , cerveja gelada !",1,1,0,0,0,0,0,0
vinho delicioso !,0,1,0,0,0,0,0,0
comida caseira deliciosa,0,0,1,0,0,0,0,0
"é um bom bar , cerveja gelada , e música boa , samba , claro !",1,1,0,1,0,0,0,0
"ótimo entretenimento , preço adequado ao que oferec e a pizza é maravilhosa .",1,0,1,0,0,0,1,0
"café maravilhoso , bolo , tapioca com tucumã , misto .",0,1,1,0,0,0,0,0
"e a comida não faz mal , como em um concorrent próximo .",0,0,1,0,0,0,0,0
atendimento super rápido e comida boa .,0,0,1,0,0,0,0,1
ótimo atendimento e variedad de prato,0,0,1,0,0,0,0,1
"uma otima opção local , pra quem gosta de massa",0,0,1,1,0,0,0,0
a cachaçaria do dedé é um bom lugar para visitar .,0,0,0,1,0,0,0,0
"voltei mai uma vez nest paraíso flutuant , muita gent bonita comida excelent e musica top .",1,0,0,1,0,0,0,0
"lugar maravilhoso , música boa , bebida gelada e gent bonita ?",1,1,0,1,0,0,0,0
comida deliciosa e preço muito bom .,0,0,1,0,0,0,1,0
grand variedad e comida e bebida típica .,0,1,1,0,0,0,0,0
"situado em um do bairro nobr de manau é um lugar sofisticado , amplo e elegant com comida de peix tipicament amazonens e o atendimento é de otima qualidad .",0,0,1,1,0,0,0,1
12:00 só dá o povo do distrito industri .,0,0,0,0,0,1,0,0
"cerveja gelada , ambient descontraído , música de qualidad , gent interessant é de frent pro maior cartão postal da cidad ( teatro amazona ) ...",1,1,0,0,0,0,0,0
uma da melhor churrascaria de manau ... os preço são alto ma pela estrutura e atendimento já vale,1,0,0,1,0,0,1,1
"ambient agradável , comida maravilhosa , carta de vinho completa e atendimento impecável !",1,1,1,0,0,0,0,1
"adorei , um lugar divertido !",0,0,0,1,0,0,0,0
"comida excelent , drinqu espetacular .",0,1,1,0,0,0,0,0
bom atendimento .,0,0,0,0,0,0,0,1
"lugar extremament agradável , otimo para passar um dia com a família ou amigo , comida boa ( preço razoável ) , musica boa , pode-s alugar caiaqu e prancha de sup , alem de tomar banho na água do rio negro , para quem nao sabe nadar é possível alugar macarrao ou ... mai",1,0,1,1,0,0,1,0
"na cozinha a agitação tem nome : felip schaedler , o jovem chef que fez fama ao utilizar elemento inusitado na sua cozinha region e recentement fincou um pé na capit paulista , com uma ... filial .",0,0,0,0,0,0,0,1
garçon incrívei .,0,0,0,0,0,0,0,1
variado cardápio ótimo atendimento custo benefício mediano .,0,0,1,0,0,0,1,1
ideal para jantar romântico e familiar .,0,0,0,1,0,0,0,0
pizza maravilhosa local lindo .,0,0,1,0,0,0,0,0
"ótimo ambient , com lugar para deixar as criança que se divertiram bastant , atendimento excelent garçom cícero , comida deliciosa ... experiência ótima",1,0,1,1,0,0,0,1
"restaurant excelent , ambient muito confortável , excelent atendimento de todo os funcionário e a comida de muito bom gosto , o camarão internacion e maravilhoso com certeza indico vc vão adorar",1,0,1,1,0,0,0,1
lugar tranquilo e ond se pode comer bem pelo um preço justo .,0,0,1,1,0,0,1,0
"ótima , um bom restaurant",0,0,0,1,0,0,0,0
minha ultima experiência não foi muito boa .,0,0,0,1,0,0,0,0
o estacionamento próprio com muita vaga tbm é um ponto positivo ? .,0,0,0,0,1,0,0,0
muito bom picanha de primeira qualidad facil acesso climatizado otimo mesmo pra toda as hora bom de mai,1,0,1,0,0,0,0,0
"apesar do alto preço , o restaurant é excelent .",0,0,0,1,0,0,1,0
obrigada por uma noit optima obrihada pelo atendimento garconet genesi ? ?,0,0,0,0,0,0,0,1
topzao super legal só acho que deveria baixar o preço do frango assado e do peix assado afin nem estamo tão long de manau ? ? ? ? ? ? ? ? ?,0,0,0,0,0,0,1,0
um do melhor hambúrguer que comi em manau .,0,0,1,0,0,0,0,0
"bem localizado , ambient agradável e cardápio com opçõ variada",1,0,1,0,1,0,0,0
"foi muito bom , comida maravilhosa , uma noit muito especi atendimento ótimo do rodrigo uchoa , foi muito especi !",0,0,1,0,0,0,0,1
"comida ótima , ma custo benefício ruim ... e o atendimento tambem",0,0,1,0,0,0,1,1
comida excelent e cardápio bem diversificado .,0,0,1,0,0,0,0,0
"um do melhor restaurant de manau , se não for o melhor .",0,0,0,1,0,0,0,0
melhor carn de sol de manau .,0,0,1,0,0,0,0,0
muito bom local para almoçar .,0,0,0,1,0,0,0,0
procur o que há de melhor em boteco pra comer um petisco e conversar sobr a vida em geral e você encontrará nest local a melhor opção !,0,0,1,1,0,0,0,0
um pub otimo pra tomar uma cerveja com os amigo,0,1,0,0,0,0,0,0
um ótimo lugar para se ir apó um dia de trabalho .,0,0,0,1,0,0,0,0
"ótimo café , ambient perfeito , variedad de opçõ e área de lazer pra criança .",1,1,1,0,0,0,0,0
uma boa opção pra quem quer ficar literalment de bubuia naquel calor maravilhoso de manau e a comida muito boa tmb,0,0,1,1,0,0,0,0
"ambient familiar , acessório muito bon disponívei tai como : macarrão , prancha , colet , etc ... comida muito boa.o fator negativo é o preço , embora o proprietário queira selecionar o público e atingir um público mai seleto , existem obrigatoriedad de consumo em valor , pagando-s taxa para tudo desd a travessia , ... mai",1,0,1,0,0,0,1,0
lugar muito bom pra tomar uma cerveja gelada ..,0,1,0,0,0,0,0,0
"ótimo restaurant , ótimo preço , comida saborosa ... situado dentro do mercado central , voltaria novament e recomendo a todo a visita ! !",0,0,1,1,1,0,1,0
"excelent ambient e atendimento , comida muito boa .",1,0,1,0,0,0,0,1
tive uma experiência não tão boa pedindo açaí via whatsapp na qual meu açaí veio com muito excesso de cobertura ( quas metad do copo ) porém foram muito rápido e solícito em resolv o problema .,0,0,1,0,0,0,0,0
ótimo restaurant,0,0,0,1,0,0,0,0
"ambient extremament agradável , atendimento de excelência , recomendo sempr .",1,0,0,1,0,0,0,1
"restaurant com bacalhau normal , não sei o que viram demai nele .",0,0,1,0,0,0,0,0
ambient super agradável e bonito .,1,0,0,0,0,0,0,0
"torta incrívei super indico atendimento exemplar estrutura muito agradável , café delicioso e atendimento rápido",1,0,1,0,0,0,0,1
estacionamento e uma excelent variedad de carn,0,0,1,0,1,0,0,0
ótimo experiência com a culinária local,0,0,1,0,0,0,0,0
enfim uma excelent opcao de lazer .,0,0,0,1,0,0,0,0
gent que lugar maravilhoso para se tomar um delicioso café da manhã .,0,0,1,1,0,0,0,0
restaurant típico nordestino com prato variado da cozinha nordestina .,0,0,1,1,0,0,0,0
"lugar agradável , café region delicioso ?",0,1,0,1,0,0,0,0
excelent atendimento comemoramo o aniversário da nossa irmã maria muito bom atendimento agradeço a churrascaria bufalo e recomendo ela,0,0,0,1,0,0,0,1
"restaurant bom , porém com o preço salgado em relação a outra opçõ mai barata na região .",0,0,0,1,0,0,1,0
"excelent , o garçom anderson ferreira fez toda a diferença , super atencioso .",0,0,0,0,0,0,0,1
muito bom restaurant .,0,0,0,1,0,0,0,0
"ótimo restaurant , ambient agradável , e a comida é excelent .",1,0,1,1,0,0,0,0
"ambient lindo , super bem frequentado , comida maravilhosa , shopp geladíssimo , ótimo atendimento .",1,1,1,0,0,0,0,1
"preço justo , prato bem servido , ótimo atendimento .",0,0,1,0,0,0,1,1
"nossa extraordinário a atendent super atenciosa ela está de parabén , não faz distinção de cor ou vestimenta ? ? ? ? ? ? ? ? ?",0,0,0,0,0,0,0,1
"rodízio bem em conta r $ 29,90 lugar amplo para ir com os amigo , tem área pra criança ( kid ) , variedad de pizza bem legal , ma se você gosta da doce vai esperar um pouquinho mai !",1,0,1,0,0,0,1,0
"o atendimento foi maravilhoso , ganhei um desconto comprando 1 torta e 1 cento de salgadinho de bolinha de queijo ( unica opcao que tinha ) .",0,0,0,0,0,0,0,1
e tem bom preço ! !,0,0,0,0,0,0,1,0
muito boa a comida e atendimento excelent do braian ?,0,0,1,0,0,0,0,1
"lugar agradável , atendimento maravilhoso , cerveja geladinha .",0,1,0,1,0,0,0,1
( tradução do googl ) bom hambúrguer com bom preço .,0,0,1,0,0,0,1,0
"bom fui em um dia de sabado e como todo os locai de qualidad foi preciso aguardar un 30 minuto porqu escolhemoi o mesanino para ficar , poi no térreo seria , muito mai tempo acredito .",0,0,0,0,0,0,0,1
"para fechar com chave de ouro , pedimo uma sobremesa de banana flambada , acompanhada de dua bola de sorvet bem generosa e super saborosa .",0,0,1,0,0,0,0,0
sempr entregam meu pedido errado e mesmo confirmando tudo certinho com atendent ... ja aconteceu mai de 5 veze a última foi hoje dia 24 de fevereiro de 2021 pedi dua piza grand mai refrigerant e não me entregaram o refrigerant paguei mai de 100 reai e o pedido veio pela metad .... liguei pra lá cobrando disseram que iriam mandar e desd 20 hora da noit esperando já são quas meia noit e nada ... isso não é a primeira vez que acontec .,0,0,0,0,0,0,0,1
"local agradável , ventilado e com muito verd .",1,0,0,1,0,0,0,0
"como todo bom restaurant portuguê , o rei do cardápio é o bacalhau , apesar da cidad estar repleta de peixaria com prato típico regionai e peix de água doce , ess na verdad é um restaurant que estando em manau , vale a pena incluir na sua prioridad .",0,0,1,1,0,0,0,0
"sempr almoço ness lugar , ambient agradável , bom atendimento , ma a carn ultimament está perdendo a qualidad e o que ma faz ir é o churrasco",1,0,1,0,0,0,0,1
"agradável , comida excelent , funcionário atencioso",0,0,1,0,0,0,0,1
"o café priscilla tem um ambient rústico super agradável , além de oferec saborosa tapioca , bolo de macacheira com cupuaçu , cuscu e outra guloseima deliciosa",1,0,1,0,0,0,0,0
pedimo uma carn bem passada e magra .,0,0,1,0,0,0,0,0
ambient agradável .,1,0,0,0,0,0,0,0
"local agradável , lanch típico , regionai",0,0,1,1,0,0,0,0
ótimo lugar bom atedimento,0,0,0,1,0,0,0,1
"evident que não seria ess motivo ma segurament foi uma experiência encantadora e recomendo vivament .. em combinação ou independent de ir à praia de ponta negra que está muito bonita , nada melhor que coroar com a experiência gustativa do maravilhoso camarão e serviço ... mai",1,0,1,1,0,0,0,1
"joia , atendent brian bem atencioso",0,0,0,0,0,0,0,1
ótimo ambient pra se tomar uma boa cerveja ..,1,1,0,0,0,0,0,0
"todo os prato são excelent , ambient muito aconchegant .",1,0,1,0,0,0,0,0
"fui toda animada por ser um restaurant famoso , ma me decepcionei com a comida .",0,0,1,1,0,0,0,0
"ótimo atendimento , comida maravilhosa e ambient muito agradável .",1,0,1,0,0,0,0,1
ambient familiar muito bom para passeio e lanch com a família e amigo .,1,0,0,0,0,0,0,0
"bebida , boa comida , iten gourmet , de mercearia e iten regionai , ali , tudo à mão , em só lugar .",0,1,1,0,0,0,0,0
"agradável local para relaxar , conversar e apreciar a natureza .",1,0,0,0,0,0,0,0
"excelent restaurant , carn saborosa e prato acima da média .",0,0,1,1,0,0,0,0
"ao tomar o café vc viaja na nuven com a pureza do café moído na hora , simplesment apaixonant .",0,1,0,0,0,0,0,0
"lugar excelent para tudo , desd um happi hour até um jantar .",0,0,0,1,0,0,0,0
"restaurant bem localizado , lugar agradável , estacionamento privativo , cardápio bem variado que vai do petisco maravilhoso de entrada , no princip temo picanha e diversa outra carn saborosa , e a sobremesa se vc conseguir tem uma carta bem sortida , além do cardápio de bebida com aquela cerveja ... mai",0,1,1,1,1,0,0,0
o restaurant é excelent com um atendimento digno de reverência .,0,0,0,1,0,0,0,1
"bom café , falta uma melhor apresentação do tipo de grão , não servem água com gá , ótima opção de lanch , porém , com valor um pouco salgado ..",0,1,1,0,0,0,0,1
"rodizio de carn é excelent com os amigo , ambient natur , banheiro limpo , lugar ideal para levar a família no finai de semana ou até mesmo encontrar os amigo .",1,0,1,0,0,0,0,0
"sopa fria , os garçon meio perdido .",0,0,1,0,0,0,0,1
gostei muito do local preço bom e comida ótima !,0,0,1,0,0,0,1,0
ótimo restaurant .,0,0,0,1,0,0,0,0
rodízio com sushi mto competido .... sushi acaba na primeira mesa .... e quem senta no fundo tem dificuldad pra comer o sushi,0,0,0,0,0,0,0,1
"atendimento excelent atendimento , garçom josé gregório muito simpático e cordial , parabén pelo serviço prestado .",0,0,0,0,0,0,0,1
excelent cardápio e uma variada carta de bebida .,1,1,0,0,0,0,0,0
local ideal para curtir uma comida de qualidad e tradicion do mercado municip de são paulo !,0,0,1,1,0,0,0,0
atendimento ótimo e um franguinho assado muito bom .,0,0,1,0,0,0,0,1
lugar bom .,0,0,0,1,0,0,0,0
tapioca muito deliciosa .,0,0,1,0,0,0,0,0
"deveria ser region , com preço acessívei .",0,0,0,0,0,0,1,0
lugar muito agradável .,0,0,0,1,0,0,0,0
"atendimento ótimo , ambient agradável lugar excelent para encontro , aniversário e todo os tipo de confraternizaçõ ...",1,0,0,1,0,0,0,1
"comida de boteco e regionai , uma excelent opção no shop manaura .",0,0,1,1,0,0,0,0
ótima refeição com atendimento de qualidad e sabor incrívei .,0,0,1,0,0,0,0,1
"ótima opção de restaurant , com preço justo e comida deliciosa .",0,0,1,1,0,0,1,0
"excelent lugar , comida espetacular",0,0,1,1,0,0,0,0
"caldo de peix de entrada , casquinho de caranguejo e um saboroso lombo de tambaqui foram as nossa pedida .",0,0,1,0,0,0,0,0
"os cort bovino são bon , ma não impressionam muito , ainda mai pelo alto preço cobrado .",0,0,1,0,0,0,1,0
"uma excelent escolha para uma noit em companhia de muita gent bonita , ótimo atendimento e uma variaçõ de musica .",1,0,0,1,0,0,0,1
excelent restaurant é o alentejo .,0,0,0,1,0,0,0,0
"lugar bonito com receptividad me sentir em casa , e o melhor com gastronomia excelent .",1,0,1,0,0,0,0,1
"preço super acessível , atendimento ótimo e super rápido .",0,0,0,0,0,0,1,1
cerveja gelada e possui uma pequena brinquedoteca,0,1,0,0,0,0,0,0
"ambient agradável , comida otima e atendimento excelent .",1,0,1,0,0,0,0,1
tradicion em manau ... ótima comida e grand diversidad de bebida,0,1,1,1,0,0,0,0
"ambient agradável , aconchegant , comida gostosa e atendimento excelent ! ?",1,0,1,0,0,0,0,1
ótimo lugar ambient familiar tranquilo .,1,0,0,1,0,0,0,0
"lugar agradável , gastronomia excelent ...",0,0,1,1,0,0,0,0
localização de fácil acesso para todo .. é servido comida tipica do nordest .,0,0,1,0,1,0,0,0
"lugar aconchegant , preço justo e atendimento com excelência .",1,0,0,0,0,0,1,1
ambient agradável e atendimento muito bom .,1,0,0,0,0,0,0,1
melhor culinária region .,0,0,1,0,0,0,0,0
bom atendimento .,0,0,0,0,0,0,0,1
bom atendimento .,0,0,0,0,0,0,0,1
"já foi um bom lugar , hoje um point de prostituição decadent .",0,0,0,1,0,0,0,0
