restaurante,comentario_stem,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Coco Bambu Belém,bom,0,0,0,0,0,0,0,0
Coco Bambu Belém,excelent . ezequiel e danilo da bahia bateram parabén .,0,0,0,0,0,0,0,0
Coco Bambu Belém,show,0,0,0,0,0,0,0,0
Coco Bambu Belém,incrível .,0,0,0,0,0,0,0,0
Coco Bambu Belém,ótima ezequiel,0,0,0,0,0,0,0,0
Coco Bambu Belém,nota mil,0,0,0,0,0,0,0,0
Coco Bambu Belém,muito boa !,0,0,0,0,0,0,0,0
Coco Bambu Belém,o melhor sem dúvida,0,0,0,0,0,0,0,0
Coco Bambu Canoas,"espetacular , como sempr .",0,0,0,0,0,0,0,0
Coco Bambu Canoas,ótimo ! mto bom,0,0,0,0,0,0,0,0
Coco Bambu Canoas,"ótimo , como sempr .",0,0,0,0,0,0,0,0
Coco Bambu Canoas,deliiiciiiaaa,0,0,0,0,0,0,0,0
Coco Bambu Canoas,muito bom adoramo,0,0,0,0,0,0,0,0
Coco Bambu Canoas,excelent para ocasiõ especiai . gosto muito !,0,0,0,0,0,0,0,0
Coco Bambu Canoas,"como sempr , ótimo .",0,0,0,0,0,0,0,0
Coco Bambu Canoas,é maravilhoso ! ! ! impecável .,0,0,0,0,0,0,0,0
Coco Bambu Canoas,vanessa,0,0,0,0,0,0,0,0
Coco Bambu Canoas,foi muito bom,0,0,0,0,0,0,0,0
Coco Bambu Canoas,magno !,0,0,0,0,0,0,0,0
Coco Bambu Canoas,magno é show de bola,0,0,0,0,0,0,0,0
Coco Bambu Canoas,saymon excelent,0,0,0,0,0,0,0,0
Coco Bambu Canoas,"maravilhoso , como sempr",0,0,0,0,0,0,0,0
Coco Bambu Canoas,magnu é muito gent finan🤪🤪,0,0,0,0,0,0,0,0
Coco Bambu Canoas,a cocada de forno é um espetáculo .,0,0,0,0,0,0,0,0
Coco Bambu Canoas,a qualidad é um hábito . parabén para vanessa nota milhão,0,0,0,0,0,0,0,0
Coco Bambu Canoas,ótimo . paraben para vanessa !,0,0,0,0,0,0,0,0
Coco Bambu Canoas,sempr padrão .,0,0,0,0,0,0,0,0
Coco Bambu Canoas,amei,0,0,0,0,0,0,0,0
Coco Bambu Canoas,ótimo ! ! magno e marco 😍😍,0,0,0,0,0,0,0,0
Coco Bambu Canoas,"it 's a good place to go with differ option to eat in the shop mall . most part is made with sea food . they have option to eat for 2 , 3 and 4 peopl . when i went there i order for 3 , 4 but wa too much . onli if you and your friend or famili are realli hungri becaus we could n't eat all . it wa too much . at least they give you the option to take home the rest of the food . thi portion you could share with 5 , 6 peopl . if you and your friends/famili are not thi hungri , just order a dish for 2 . they have music that is good to listen while you eat . the menu is in a qr code where you can find the food and the wine option separ . the servic provid is great . if you want to stay close to the window my advic is to go earli .",0,0,0,0,0,0,0,0
Coco Bambu Canoas,top ! marcio é o melhor ! lenon tbm😊😊😊,0,0,0,0,0,0,0,0
Coco Bambu Canoas,mmayrom e ronald,0,0,0,0,0,0,0,0
Coco Bambu Canoas,excelent ! !,0,0,0,0,0,0,0,0
Coco Bambu Canoas,sensacion,0,0,0,0,0,0,0,0
Coco Bambu Canoas,como sempr ! ! tudo ótimo . especialment ao silvio e maycon que gentilment no atenderam com excelência .,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,gostamo muito,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,sensacion como sempr !,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,uma delicia,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,"muito bommm , mto bom de estudar e com o almoço maravilhoso ! ! procurem a sarah , ela é otimaaa !",0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,excelent como sempr,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,maravilhosoooooo,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,"muito boa , amei ! !",0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,amo muito,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,leuk plek om te werken voor school ! heel vriendelijk personeel en lekker eten ! alleen jammer dat je maar 1 uur op de wifi kan en erna een nieuw bestel moet maken ! voor de rest zeker aan te raden !,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,incrível ❤️,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,day,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,junior e dai foram un amor < 3,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,"gosto muito do lugar , serv pra sair com amigo , pra trabalho etc",0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,melhor cafeteria de fortaleza ❤️,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,"a internet de você está péssima… eu costumava vir para trabalhar do coffe break , ma você colocaram um sistema de internet que não funciona . é necessário um voucher pra conectar , o mesmo não funciona muita veze e quando conecta não carrega algun sites… eu trabalho remotament e preciso da internet , e além disso não deixo de consumir , sempr gasto un r $ 30 por visita . revejam ess provedor de internet .",0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,o melhor pudim do mundo ! !,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,eu amei tudo ! super voltaria,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,foi top,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,marina ! muito prestativa !,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,muito boaa,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,amei tudooo,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,marina ❤️,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,noth special . expens,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,surpreendent,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,pegada muito boa . agora atendendo individualment . estilo fast food .,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,bike,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,ainad não fui e por isso não posso comentar .,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,padrão coco bambu😊,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,나는 한국에서 왔지만 그들은 친절하게 나를 대해줬다 . 감사합니다 .,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,inovador . muito bom,0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,"o pior capuccino que tomei em fortaleza , pedi pra falar com o gerent esperei 15 minuto e não apareceu , uma decepção",0,0,0,0,0,0,0,0
Coco Bambu Coffee Break,great place to have a break and a good coffe ! 😋☕,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main,0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilhosaaaa,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"garçonet main , ótima",0,0,0,0,0,0,0,0
Coco Bambu Vitória,rafael pimenta,0,0,0,0,0,0,0,0
Coco Bambu Vitória,rafael top do top,0,0,0,0,0,0,0,0
Coco Bambu Vitória,nayara foi maravilhosa,0,0,0,0,0,0,0,0
Coco Bambu Vitória,rafael,0,0,0,0,0,0,0,0
Coco Bambu Vitória,ótimo como sempr !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,rafael nota 10,0,0,0,0,0,0,0,0
Coco Bambu Vitória,gustavo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"foi boa , como de costum .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,o rafael é o melhor ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,seu antônio melhor .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilhosaaa main,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"apesar da correria da data , foi ótimo .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main ! ! excelent , muito simpática e prestativa atenta ! !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"amaz food , staff wa veri attent and the atmospher wa nice .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilhosa . o caio foi excelent ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,mt bom,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"coco bambu is sinc a great place to meet peopl , enjoy good food and great servic . don ’ t forgot the make a reserv . they are alway busi",0,0,0,0,0,0,0,0
Coco Bambu Vitória,espetacular .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,foi otimo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,maini,0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilhoso o jairo e um excelent profission top gostei de mai 👏👏👏,0,0,0,0,0,0,0,0
Coco Bambu Vitória,coco bambu no melhor ponto de vitória .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent profission .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,horrivel num volto nunca mai,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"boa , sempr gostei de vir aqui",0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilha,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"top demai , tomei toda",0,0,0,0,0,0,0,0
Coco Bambu Vitória,👍👍👍👍👍,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sempr com excelência . pedro grand profission .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,erlon,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sempr maravilhoso !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,ótimo momento♡,0,0,0,0,0,0,0,0
Coco Bambu Vitória,nota 1000 .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,top da galaxia .. amooo os hapi hour,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent ! main fue muy amabl ! me gustó mucho del evento y en especi la atención del person . soy de colombia y me encantó la experiencia . persona como mai e hacen la diferencia .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"gostei , atentendimento muito simpático ( caio ) . minha unica crítica é a batata palha , que na ocasião veio um pouco murcha .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main , foi simpática e solicita .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,great place to eat !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main , super simpática adorei ela super simpática !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,caio .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"erlon , excelent profission",0,0,0,0,0,0,0,0
Coco Bambu Vitória,100 % . erlan é o melhor do mundo !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main . simpática,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent ! maín .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main pessoa de extrema simpatia , muito prestativa .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,amaz food ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,a funcionária main é excelent e extremament simpática !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,luiz felip,0,0,0,0,0,0,0,0
Coco Bambu Vitória,lui felip nota 10 👍🏼👍🏼👍🏼,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main - execelent,0,0,0,0,0,0,0,0
Coco Bambu Vitória,love place and servic . the waiter erlon wa veri friendli and knowledg .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main nota 1000 ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent ! 😍,0,0,0,0,0,0,0,0
Coco Bambu Vitória,melhor do que eu imaginava,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent cida,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"mayn e carlo , excelent evento !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,metri júnior,0,0,0,0,0,0,0,0
Coco Bambu Vitória,metri junior,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent atendi ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,everyth ok,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"flavio , muito cordial e prestativo",0,0,0,0,0,0,0,0
Coco Bambu Vitória,muito bom ma prefiro shop vila velha,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent tudo . pedro nota 10 .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main o evento foi ótimo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,atila,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main , excelent",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"luiz filip e aislan , foram excelent , assistimo a estreia do brasil na copa , mesmo com uma demanda enorm os doi se destacaram ...",0,0,0,0,0,0,0,0
Coco Bambu Vitória,main excelent atención muy agrad y con buena sugerencia volvería siempr,0,0,0,0,0,0,0,0
Coco Bambu Vitória,erlon melhor já vi .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,100 % cida é nota 10 .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,tudo de bom ... maravilha 😃,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main excelent ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main excelent evento !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,amanda,0,0,0,0,0,0,0,0
Coco Bambu Vitória,erlon toptoo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"nayara , excelent garçonet , jackson , nao perca está funcionária",0,0,0,0,0,0,0,0
Coco Bambu Vitória,main excelent pessoa . maravilhosa simpática sorrident . obrigada,0,0,0,0,0,0,0,0
Coco Bambu Vitória,asilan ( excelent ),0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent . nayara,0,0,0,0,0,0,0,0
Coco Bambu Vitória,nayara,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main ótimo evento ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,cordialidad e ótima atenção .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,lui felip foi top !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sempr maravilhosa,0,0,0,0,0,0,0,0
Coco Bambu Vitória,comemorei meu aniversario e fui muito bem atentida pelo erlon,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main . excelent !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,ótimo ! adorei ! ; ),0,0,0,0,0,0,0,0
Coco Bambu Vitória,"ótima ! aislan ótima , simpática e linda ! !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,aslan eh top ! ! ! ! ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,aislan,0,0,0,0,0,0,0,0
Coco Bambu Vitória,erlon foi ótimo !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,adorei . nayara é excelent !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,aislan e lui felip,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sem palavra,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"erlon , obrigada pela atenção e profissionalismo . iremo voltar e te procurar !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,nayara foi muito simpática .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"aislan , ótima profission !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"foi ótima , o felip e antônio no atenderam muito bem .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"incrível , como sempr",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main , foi muito profission . parabén pelo trabalho . excelent .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,ela é sempr espetacular ! nossa querida main .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main e odilon excelent evento,0,0,0,0,0,0,0,0
Coco Bambu Vitória,fraco buffet não gostei,0,0,0,0,0,0,0,0
Coco Bambu Vitória,foi perfeita ! ! ! ! almoço top ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,muito bom e rapido,0,0,0,0,0,0,0,0
Coco Bambu Vitória,muito boa main,0,0,0,0,0,0,0,0
Coco Bambu Vitória,a garçonet main foi excelent . parabén,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main execelent ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,nayara wa great,0,0,0,0,0,0,0,0
Coco Bambu Vitória,a alin foi otimo !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"tem o padrão coco bambu , ma estou mai acostumado no de vila velha , e percebi uma diferença muito grand , vila velha é bem melhor ! !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,amei,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"main , excelent",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"uma profission exemplar . merec nosso respeito , admiração e gratidão . profission main",0,0,0,0,0,0,0,0
Coco Bambu Vitória,ágil e gentil main,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"ótimo para família , amigo , trabalho e criança",0,0,0,0,0,0,0,0
Coco Bambu Vitória,incrível 🤩,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"aqui não tem erro , é só chegar e curtir ! !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,"foi muito bom .... ,",0,0,0,0,0,0,0,0
Coco Bambu Vitória,show ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,noit agradável e muito bem recepionada por main e os demai da casa !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,ótima como sempr !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilha de casa ....,0,0,0,0,0,0,0,0
Coco Bambu Vitória,foi ok,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent ; veri good .. main .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main sensacion !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main foi maravilhosa ! ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,perfect,0,0,0,0,0,0,0,0
Coco Bambu Vitória,amanda e a melhor funcionária do estabelecimento,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main foi maravilhosa,0,0,0,0,0,0,0,0
Coco Bambu Vitória,gustavo anastácio fenômeno 👊🏻,0,0,0,0,0,0,0,0
Coco Bambu Vitória,i share my experi with my fiance as we had our engag dinner here . i absolut love it . the staff are veri friendli and profession . the food is to die for . i would highli recommend coco bambu to all of you .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,boa noit fui muito bem recepcionado pelo garson guatavo anastácio pessoa excepcion,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"boa , main",0,0,0,0,0,0,0,0
Coco Bambu Vitória,salada sensacionai e cocada de forno do deus !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,espetacular ....,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"excelent servic main wa veri profession , attent to all round servic and friendli with a great person . the seafood paella wa delici and well season , and we also had the light salad that we found the dress a bit sweet for our like . overal we had a great time .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,tudo de bom !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent 👏 muito bom,0,0,0,0,0,0,0,0
Coco Bambu Vitória,padrão cb top .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,jean venezuela,0,0,0,0,0,0,0,0
Coco Bambu Vitória,bom é pouco ! sensacion,0,0,0,0,0,0,0,0
Coco Bambu Vitória,main foi ótima,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent jean venezuela,0,0,0,0,0,0,0,0
Coco Bambu Vitória,jantar com minha mãe,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sensacion ...,0,0,0,0,0,0,0,0
Coco Bambu Vitória,muito legal,0,0,0,0,0,0,0,0
Coco Bambu Vitória,péssimo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sensacion ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,diogo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,sensacion ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,tá de parabén nota 1000,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"servic wa bad enough to make thi good restaur a 2 star review . food wa good , portion are big , live music wa also great . but servic wa terribl , the worst i had in brazil . an overal horribl experi in a great restaur .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,🤙🏻🤙🏻🤙🏻,0,0,0,0,0,0,0,0
Coco Bambu Vitória,love place to spend some time with your famili . the food is delici and the custom servic is first class ! i wa serv by a waiter called'gean ' . awesom guy !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,otimo ! mayk !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"conheço todo e como sempr , é o melhor camarão internacion ! ! ! assim como em fortaleza no ceará , a visita ao de vitória- es não deixou nada a desejar ! super recomendo",0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilhosa ! fiquei muito satisfeita !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,ótimo como sempr,0,0,0,0,0,0,0,0
Coco Bambu Vitória,ótima ! ! ! mayk,0,0,0,0,0,0,0,0
Coco Bambu Vitória,jean venezuela arras ! ! ! parabén ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,achei excelent ! ! …,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"horrível , esperamo mai de 2h , vária mesa vazia e mesmo assim não no colocaram pra sentar",0,0,0,0,0,0,0,0
Coco Bambu Vitória,fabrício foi maravilhoso ele está de parabén ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,muito bom . foi ótimo ! ! !,0,0,0,0,0,0,0,0
Coco Bambu Vitória,jean venezuelano paraben pelo atendimenro,0,0,0,0,0,0,0,0
Coco Bambu Vitória,não coma na varanda . barulho ensurdecedor de carro . pedi para retirar o cover poi não dava pra ouvir . ele tiraram . gostei .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,excelent jeferson 👍🏻,0,0,0,0,0,0,0,0
Coco Bambu Vitória,gean venezuela,0,0,0,0,0,0,0,0
Coco Bambu Vitória,fabrício,0,0,0,0,0,0,0,0
Coco Bambu Vitória,falta o rodizio como ja vi em outro estado,0,0,0,0,0,0,0,0
Coco Bambu Vitória,jean venezuela incrível,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"great food , excel servic , amaz ambianc . a special thank to jean venezuela for hi fantast servic . i will definit return here when i get a chanc .",0,0,0,0,0,0,0,0
Coco Bambu Vitória,obrigado andrad e geraldo,0,0,0,0,0,0,0,0
Coco Bambu Vitória,maravilhosooooo ! quero voltar outra veze .,0,0,0,0,0,0,0,0
Coco Bambu Vitória,"foi simplesment maravilhoso ! ! ! ! o gerent geraldo é excepcion , que educação e gentileza , a garçonet alin um show de simpatia e profissionalismo e muito obrigado a larissa recepcionista pela paciência e atenção ! parabén a todo do coco bambu , tudo perfeito ! ! ! !",0,0,0,0,0,0,0,0
Coco Bambu Vitória,perfeito melhor não exist,0,0,0,0,0,0,0,0
